c/n,f/f,operator,type,St
1724,08.06.16,Saudi Arabian AL,330-343E,C
1725,03.05.16,MEA,330-243,C
1726,21.06.16,Saudi Arabian,330-343E,C
1727,02.05.16,Air Caraibes/French Blue,330-323E,
1728,10.06.16,Iberia,330-202,C
1729,20.06.16,Saudi Arabian,330-343E,C
1730,25.05.16,Tibet AL,330-243,C
1731,17.05.16,Saudi Arabian,330-343E,C
1732,24.05.16,Hawaiian AL,330-243,C
1733,26.05.16,Garuda Indonesia,330-343E,C
1734,20.07.16,Saudi Arabian,330-343E,C
1735,15.06.16,MTAD,330-243MRTT,C
1736,12.07.16,Iberia,330-202,C
1737,19.07.16,Aerolineas Argentinas,330-202,C
1738,25.08.16,Saudi Arabian,330-343E,C
1739,23.06.16,Saudi Arabian,330-343E,C
1740,08.08.16,Iberia,330-202,C
1741,05.08.16,Rwandair,330-243,C
1742,19.08.16,Aer Lingus,330-302,C
1743,24.08.16,Saudi Arabian,330-343E,C
1744,06.09.16,Aer Lingus,330-302,C
1745,28.10.16,South African AW,330-343E,
1746,10.08.16,Sichuan AL ,330-243,C
1747,14.09.16,Iberia,330-202,C
1748,06.10.16,Aerolineas Argentinas,330-202,C
1749,11.11.16,Saudi Arabian,330-343E,C
1751,20.09.16,Saudi Basic Industries Company,330-243CJ,
1752,23.09.16,Air China,330-343E,C
1753,05.10.16,Beijing Capital AL,330-343E,C
1754,21.11.16,South African AW,330-343E,
1755,12.10.16,Iberia,330-202,C
1756,02.11.16,Tianjin AL,330-243,C
1757,25.10.16,South African AW,330-343E,
1758,30.11.16,Tianjin AL,330-243,C
1759,18.11.16,Rwandair,330-343E,C
1760,17.11.16,China Southern AL,330-323E,C
1761,25.11.16,Iberia,330-202,C
1762,10.11.16,MTAD,330-243,
1763,06.12.16,Beijing Capital AL,330-343E,C
1764,07.12.16,Saudi Arabian AL,330-343E,C
1765,14.12.16,Air China,330-343E,C
1766,13.12.16,Saudi Arabian AL,330-343E,C
1767,16.12.16,EVA AW,330-302,C
1769,17.01.17,Delta AL,330-302,C
1770,24.01.17,Saudi Arabian AL,330-343E,C
1771,25.01.17,Tibet AL,330-243,C
1773,03.02.17,Tianjin AL,330-243,C
1774,04.02.17,Saudi Arabian AL,330-343E,C
1775,31.01.17,Beijing Capital AL,330-243,C
1776,10.02.17,China Southern AL,330-323E,C
1777,13.03.17,Iberia,330-202,
1778,10.03.17,EVA AW,330-302,C
1779,20.03.17,South African AW,330-343E,
1780,01.03.17,Sichuan AL,330-243,C
1781,15.03.17,Saudi Arabian AL,330-343E,C
1782,30.03.17,Beijing Capital AL,330-243,C
1783,14.03.17,Delta AL,330-302,C
1784,30.03.17,Iberia,330-202,
1785,23.03.17,Tibet AL,330-243,C
1786,12.04.17,Air China,330-343E,C
1787,28.04.17,MTAD,330-243MRTT,
1788,25.04.17,China Eastern AL,330-343E,C
1789,03.04.17,Cebu Pacific AL,330-343E,C
1790,10.04.17,Saudi Arabian AL,330-343E,C
1791,05.05.17,Aer Lingus,330-302,C
1792,27.04.17,South African AW,330-343E,STD
1793,24.06.17,China Southern AL,330-323E,C
1794,09.05.17,EVA AW,330-302,C
1796,03.07.17,China Eastern AL,330-343E,C
1797,20.06.17,Saudi Arabian AL,330-343E,C
1798,19.05.17,China Eastern AL,330-343E,C
1799,13.06.17,MTAD,330-243MRTT,
1800,31.07.17,Saudi Arabian AL,330-343E,C
1801,24.05.17,China Eastern AL,330-343E,C
1802,06.06.17,Air China,330-343E,C
1803,12.06.17,Saudi Arabian AL,330-343E,C
1804,01.08.17,China Eastern AL,330-343E,C
1805,16.06.17,Tianjin AL,330-243,C
1806,06.10.17,EVA AW,330-302,C
1807,11.07.17,Air China,330-343E,C
1808,22.11.17,MTAD,330-243MRTT,
1809,29.06.17,China Eastern AL,330-343E,C
1810,27.07.17,Shenzhen AL,330-343E,C
1811,13.07.17,Air China,330-343E,C
1812,28.09.17,Saudi Arabian AL,330-343E,C
1814,23.08.17,China Southern AL,330-343E,C
1815,06.09.17,China Southern AL,330-343E,C
1816,26.07.17,China Eastern AL,330-343E,C
1817,01.09.17,Aer Lingus,330-302,C
1818,15.09.17,China Southern AL,330-343E,C
1819,15.05.18,TAP Air Portugal,330-941,C
1820,19.09.17,Thai Lion Air,330-343E,
1821,03.10.17,China Southern AL,330-343E,C
1822,02.10.17,MTAD,330-243MRTT,
1823,16.09.17,Hawaiian AL,330-243,C
1825,11.10.17,Sichuan AL,330-243,C
1826,07.11.17,China Southern AL,330-343E,C
1827,09.10.17,Hainan AL,330-343E,C
1828,14.10.17,Thai Lion Air,330-343E,
1829,27.11.17,Shenzhen AL,330-343E,C
1830,15.11.17,MTAD,330-243,
1831,31.10.17,Hainan AL,330-343E,C
1832,25.10.17,Thai Lion Air,330-343E,
1834,24.11.17,Saudi Arabian AL,330-343E,C
1835,29.11.17,Iberia,330-202,C
1836,24.09.18,TAP Air Portugal,330-941,C
1837,23.11.17,Hainan AL,330-343E,C
1838,20.12.17,Lucky Air,330-343E,C
1839,22.12.17,Shenzhen AL,330-343E,C
1840,20.12.17,Tianjin AL,330-343E,C
1841,06.12.17,China Eastern AL,330-343E,C
1842,17.01.18,China Eastern AL,330-343E,C
1843,21.12.17,Lucky Air,330-343E,C
1844,07.03.19,Air Belgium,330-941,C
1845,16.01.18,Tibet AL,330-243,C
1846,11.01.18,China Southern AL,330-343E,C
1847,23.01.18,Beijing Capital AL,330-243,C
1848,30.01.18,MTAD,330-243,
1849,22.01.18,Tianjin AL,330-343,C
1850,19.11.18,TAP Air Portugal,330-941,C
1851,27.02.18,Lucky Air,330-343E,C
1852,06.02.18,China Southern AL,330-343,C
1854,07.02.18,Iberia,330-202,C
1855,15.02.18,Hainan AL,330-343,C
1856,28.02.18,Sichuan AL,330-343,C
1857,20.03.18,MTAD,330-243MRTT,
1858,21.03.18,China Southern AL,330-343,C
1859,13.03.18,Tibet AL,330-243,C
1860,15.03.18,Hainan AL,330-343,C
1861,21.07.21,Air Belgium,330-941,C
1862,16.04.18,Beijing Capital AL,330-343,C
1863,14.03.18,Hong Kong AL,330-343,STD
1864,12.05.18,Level,330-202,
1865,17.04.18,Hong Kong AL,330-343,STD
1866,22.05.18,Lucky Air,330-343,C
1867,27.04.18,Shenzhen AL,330-343E,C
1868,10.04.18,China Eastern AL,330-343E,C
1869,19.05.18,China Eastern AL,330-343E,C
1870,13.12.19,Citilink,330-941,
1871,07.05.18,Hainan AL,330-343E,C
1872,18.05.18,Nepal AL,330-243,C
1873,18.05.18,China Eastern AL,330-343E,C
1874,12.07.18,Hong Kong AL,330-343,STD
1875,07.06.18,Hainan AL,330-343,C
1876,11.01.19,Azul L.A.,330-941,C
1877,07.06.18,Level,330-202,C
1878,20.06.18,Nepal AL,330-243,C
1879,03.07.18,Shenzhen AL,330-343,C
1880,13.06.18,Beijing Capital AL,330-343,C
1881,26.06.18,China Eastern AL,330-343,C
1882,17.07.18,Level,330-202,
1883,04.07.18,MTAD,330-243MRTT,
1884,16.02.19,Air Mauritius,330-941,C
1885,14.07.18,China Southern AL,330-343,C
1887,16.11.19,Citilink,330-941,C
1889,24.07.18,Shenzhen AL,330-343,C
1890,13.05.19,Air Mauritius,330-941,C
1891,05.09.18,MTAD,330-243MRTT,
1892,10.12.18,TAP Air Portugal,330-941,C
1893,27.08.18,Hainan AL,330-343E,C
1894,13.09.18,China Southern AL,330-343E,C
1895,24.06.19,Azul L.A.,330-941,C
1896,27.08.18,Hainan AL,330-343E,C
1897,25.04.19,TAP Air Portugal,330-941,C
1898,13.09.18,Hainan AL,330-343E,C
1899,08.10.18,Hainan AL,330-343E,C
1900,12.02.19,TAP Air Portugal,330-941,C
1901,12.06.19,Thai Air Asia X,330-941,C
1903,03.05.19,Thai Air Asia X,330-941,C
1904,22.01.19,TAP Air Portugal,330-941,C
1905,27.11.18,China Eastern AL,330-343E,C
1906,05.04.19,TAP Air Portugal,330-941,C
1907,21.11.18,K5 Aviation,330-343,C
1908,15.03.19,TAP Air Portugal,330-941,C
1909,31.05.19,TAP Air Portugal,330-941,C
1910,29.01.19,Air Senegal,330-941,C
1912,12.02.19,Sichuan AL,330-343E,C
1913,28.06.19,TAP Air Portugal,330-941,C
1914,09.04.19,TAP Air Portugal,330-941,C
1915,07.05.19,Delta AL,330-941,C
1916,18.03.19,MTAD,330-243MRTT,
1917,22.02.19,Capital AL,330-343,STD
1918,16.07.19,TAP Air Portugal,330-941,C
1919,26.06.19,MTAD,330-243MRTT,
1920,28.05.19,Delta AL,330-941,C
1921,11.07.19,TAP Air Portugal,330-941,C
1922,21.08.19,TAP Air Portugal,330-941,C
1923,13.09.19,Air Senegal,330-941,C
1924,16.12.19,Azul L.A.,330-941,C
1925,23.09.19,TAP Air Portugal,330-941,C
1926,27.06.19,Lion Air,330-941,C
1927,05.06.19,Lion Air,330-941,C
1928,26.04.19,SAS,330-343E,C
1929,16.07.19,Hi Fly,330-941,
1931,31.07.19,Delta AL,330-941,C
1932,24.05.19,Level,330-202,C
1933,27.09.19,Thai Lion Air,330-941,
1934,13.11.19,Azul L.A.,330-941,C
1935,13.09.19,Delta AL,330-941,C
1936,26.08.19,Level,330-202,
1937,16.07.19,Aircalin,330-941,C
1938,11.09.19,Aircalin,330-941,C
1939,10.10.19,Thai Lion Air,330-941,
1941,22.11.19,TAP Air Portugal,330-941,C
1942,26.09.19,MTAD,330-243MRTT,
1943,03.10.19,TAP Air Portugal,330-941,C
1946,25.10.19,Garuda Indonesia,330-941,C
1947,28.10.19,Garuda Indonesia,330-941,C
1948,16.10.19,Garuda Indonesia,330-941,C
1949,07.11.19,Delta AL,330-941,C
1950,21.11.19,Aer Lingus,330-302,C
1951,11.02.20,Aer Lingus,330-302,C
1952,26.11.20,Azul L.A.,330-941,C
1953,06.04.20,Delta AL,330-941,C
1954,23.10.19,TAP Air Portugal,330-941,C
1956,27.01.20,Lion Air,330-941,C
1957,03.03.20,Delta AL,330-941,C
1958,04.02.20,Condor,330-941,STD
1959,03.06.20,Condor,330-941,STD
1960,28.02.20,MTAD,330-243MRTT,
1962,07.09.20,Delta AL,330-941,C
1963,25.05.20,Orbest,330-941,C
1964,26.06.20,Kuwait AW,330-841,C
1965,21.02.20,MTAD,330-243MRTT,
1966,28.11.22,Condor,330-941,
1968,28.05.20,MTAD,330-243MRTT,
1969,30.07.20,Kuwait AW,330-841,C
1970,30.09.22,Cebu Pacific AL,330-941,C
1975,30.10.20,Corsair,330-941,C
1977,18.11.20,Uganda AL,330-841,C
1978,20.11.20,Lion Air,330-941,C
1979,30.11.20,Uganda AL,330-841,C
1981,19.01.21,Sunclass AL,330-941,
1982,24.08.20,MTAD,330-243MRTT,
1983,04.03.21,Delta AL,330-941,C
1984,01.03.21,Thai Lion Air,330-941,
1986,01.03.21,Corsair,330-941,C
1987,06.08.21,Thai Lion Air,330-941,C
1989,15.10.20,MTAD,330-243MRTT,
1990,02.04.21,Delta AL,330-941,C
1991,03.05.21,Delta AL,330-941,C
1992,27.08.21,Corsair,330-941,C
1993,19.05.21,Corsair,330-941,C
1994,24.01.22,Delta AL,330-941,C
1995,13.06.22,Delta AL,330-941,C
1996,20.05.22,Delta AL,330-941,C
1997,29.09.22,Delta AL,330-941,C
1998,25.05.21,MTAD,330-243MRTT,
1999,04.03.22,Delta AL,330-941,C
2000,08.02.22,Delta AL,330-941,C
2001,22.09.21,Cebu Pacific AL,330-941,C
2002,17.11.21,Cebu Pacific AL,330-941,C
2003,22.10.21,Starlux AL,330-941,C
2004,06.12.21,Cebu Pacific AL,330-941,C
2005,03.08.21,Kuwait AW,330-841,C
2006,11.02.22,Starlux AL,330-941,C
2007,21.12.21,MTAD,330-243MRTT,
2008,10.08.21,MTAD,330-243MRTT,
2009,07.04.22,Corsair,330-941,C
2010,01.04.22,Delta AL,330-941,C
2011,20.10.21,MTAD,330-243MRTT,
2012,15.02.22,MTAD,330-243MRTT,
2013,11.05.22,Starlux AL,330-941,
2014,18.07.22,Delta AL,330-941,
2015,19.05.22,MTAD,330-243MRTT,
2016,23.08.22,Kuwait AW,330-841,C
2017,27.07.22,Starlux AL,330-941,C
2018,12.08.22,Virgin Atlantic,330-941,C
2019,13.09.22,Virgin Atlantic,330-941,C
2020,25.10.22,Air Greenland,330-841,C
2022,17.10.22,French Air Force,330-243MRTT,C
2023,10.11.22,United Arab Emirates AF,330-243MRTT,
2024,08.12.22,Condor,330-941,
