c/n,f/f,operator,type,St
298.0,27.05.19,Virgin Atlantic AW,350-1041,C
299.0,24.10.19,Fiji AW,350-941,C
300.0,03.04.19,Finnair,350-941,C
301.0,24.05.19,Asiana AL,350-941,C
302.0,04.04.19,Iberia,350-941,C
303.0,09.04.19,Philippine AL,350-941,C
305.0,19.03.19,Singapore AL,350-941,C
306.0,03.05.19,Cathay Pacific,350-1041,C
307.0,15.05.19,China Eastern AL,350-941,C
308.0,12.06.19,Adhan Aircraft Leasing,350-941,
309.0,17.04.19,Singapore AL,350-941,C
310.0,30.04.19,Ethiopian AL,350-941,C
311.0,13.05.19,Air China,350-941,C
312.0,07.05.19,Iberia,350-941,C
313.0,03.10.19,Qatar AW lsd,350-941,
314.0,19.06.19,Lufthansa,350-941,C
315.0,14.05.19,Etihad AW,350-1041,C
316.0,16.04.19,Singapore AL,350-941,C
318.0,03.06.19,China Southern AL,350-941,C
319.0,25.06.19,Virgin Atlantic AW,350-1041,C
320.0,19.11.19,Fiji AW,350-941,C
321.0,16.05.19,Japan AL,350-942,C
322.0,12.06.19,Singapore AL,350-941,C
323.0,07.08.19,ALAFCO,350-941,
324.0,18.06.19,Cathay Pacific AL,350-941,C
325.0,23.05.19,French Bee,350-941,C
326.0,02.07.19,British AW,350-1041,C
327.0,08.07.19,Air Caraibes,350-941,C
328.0,19.07.19,Singapore AL,350-941,C
329.0,26.06.19,Singapore AL,350-941,C
330.0,05.06.19,Etihad AW,350-941,C
331.0,27.08.19,Air France,350-941,C
332.0,05.09.19,Qatar AW,350-1041,C
333.0,08.07.19,Japan AL,350-942,C
334.0,05.07.19,China Southern AL,350-941,C
335.0,23.09.19,Asiana AL,350-941,C
336.0,23.07.19,Virgin Atlantic AW,350-1041,C
337.0,22.07.19,Cathay Pacific AL,350-941,C
338.0,26.09.19,ALAFCO,350-941,
339.0,11.09.19,China Southern AL,350-941,C
340.0,21.08.19,British AW,350-1041,C
341.0,30.07.19,Singapore AL,350-941,C
342.0,06.08.19,Etihad AW,350-1041,C
343.0,19.08.19,Japan AL,350-942,C
344.0,16.08.19,Singapore AL,350-941,C
345.0,06.09.19,Ethiopian AL,350-941,C
346.0,01.10.19,Qatar AW,350-1041,C
347.0,10.10.19,China Southern AL,350-941,C
348.0,11.10.19,Singapore AL,350-941,C
349.0,05.10.19,Air France,350-941,C
350.0,15.10.19,Qatar AW,350-1041,C
351.0,26.08.19,Hainan AL,350-941,
352.0,06.09.19,Japan AL,350-942,C
354.0,11.10.19,South African AW lsd,350-941,
355.0,17.09.19,Hainan AL,350-941,
356.0,22.11.19,Qatar AW,350-1041,C
357.0,20.09.19,China Southern AL,350-941,C
358.0,06.11.19,SAS Scandinavian AL,350-941,C
359.0,12.11.19,Air France,350-941,C
362.0,06.11.19,British AW,350-1041,C
363.0,22.11.19,LATAM AL,350-941,
364.0,07.11.19,Singapore AL,350-941,C
365.0,14.11.19,South African AW lsd,350-941,
366.0,13.11.19,Iberia,350-941,C
368.0,11.02.20,Qatar AW,350-1041,C
369.0,07.11.19,Singapore AL,350-941,C
370.0,05.11.19,Japan AL,350-942,C
371.0,21.11.19,Singapore AL,350-941,C
372.0,28.01.20,Qatar AW,350-1041,C
373.0,29.11.19,China Eastern AL,350-941,C
374.0,11.12.19,British AW,350-1041,C
375.0,28.11.19,Ethiopian AL,350-941,C
376.0,29.11.19,China Southern AL,350-941,C
378.0,14.01.20,SAS Scandinavian AL,350-941,C
379.0,07.01.20,Singapore AL,350-941,C
380.0,09.07.20,Cathay Pacific AL,350-1041,C
381.0,14.01.20,Air France,350-941,C
382.0,04.03.20,Qatar AW,350-1041,C
383.0,03.02.20,Aeroflot,350-941,
385.0,14.01.20,Singapore AL,350-941,C
386.0,16.01.20,British AW,350-1041,C
387.0,10.01.20,Asiana AL,350-941,C
388.0,23.04.20,Etihad AW,350-1041,C
389.0,11.02.20,Asiana AL,350-941,C
390.0,31.01.20,Lufthansa,350-941,C
391.0,13.02.20,SAS Scandinavian AL,350-941,C
392.0,19.12.19,Finnair,350-941,C
393.0,24.06.21,Cathay Pacific AL,350-941,C
394.0,06.02.20,Singapore AL,350-941,C
395.0,05.03.20,Delta AL,350-941,C
396.0,15.01.20,Cathay Pacific AL,350-941,C
397.0,17.01.20,Iberia,350-941,C
398.0,10.02.20,China Southern AL,350-941,C
399.0,11.05.20,Qatar AW,350-1041,C
400.0,24.02.20,Evelop AL,350-941,C
401.0,07.02.20,Cathay Pacific AL,350-941,C
