,c/n,f/f_year,operator,type,St
1368,1868.0,18,China Eastern AL,330,C
1369,1869.0,18,China Eastern AL,330,C
1370,1870.0,19,Citilink,330,
1371,1871.0,18,Hainan AL,330,C
1372,1872.0,18,Nepal AL,330,C
1373,1873.0,18,China Eastern AL,330,C
1374,1874.0,18,Hong Kong AL,330,STD
1375,1875.0,18,Hainan AL,330,C
1376,1876.0,19,Azul L.A.,330,C
1377,1877.0,18,Level,330,C
1378,1878.0,18,Nepal AL,330,C
1379,1879.0,18,Shenzhen AL,330,C
1380,1880.0,18,Beijing Capital AL,330,C
1381,1881.0,18,China Eastern AL,330,C
1382,1882.0,18,Level,330,
1383,1883.0,18,MTAD,330,
1384,1884.0,19,Air Mauritius,330,C
1385,1885.0,18,China Southern AL,330,C
1386,1887.0,19,Citilink,330,C
1387,1889.0,18,Shenzhen AL,330,C
1388,1890.0,19,Air Mauritius,330,C
1389,1891.0,18,MTAD,330,
1390,1892.0,18,TAP Air Portugal,330,C
1391,1893.0,18,Hainan AL,330,C
1392,1894.0,18,China Southern AL,330,C
1393,1895.0,19,Azul L.A.,330,C
1394,1896.0,18,Hainan AL,330,C
1395,1897.0,19,TAP Air Portugal,330,C
1396,1898.0,18,Hainan AL,330,C
1397,1899.0,18,Hainan AL,330,C
1398,1900.0,19,TAP Air Portugal,330,C
1399,1901.0,19,Thai Air Asia X,330,C
1400,1903.0,19,Thai Air Asia X,330,C
1401,1904.0,19,TAP Air Portugal,330,C
1402,1905.0,18,China Eastern AL,330,C
1403,1906.0,19,TAP Air Portugal,330,C
1404,1907.0,18,K5 Aviation,330,C
1405,1908.0,19,TAP Air Portugal,330,C
1406,1909.0,19,TAP Air Portugal,330,C
1407,1910.0,19,Air Senegal,330,C
1408,1912.0,19,Sichuan AL,330,C
1409,1913.0,19,TAP Air Portugal,330,C
1410,1914.0,19,TAP Air Portugal,330,C
1411,1915.0,19,Delta AL,330,C
1412,1916.0,19,MTAD,330,
1413,1917.0,19,Capital AL,330,STD
1414,1918.0,19,TAP Air Portugal,330,C
1415,1919.0,19,MTAD,330,
1416,1920.0,19,Delta AL,330,C
1417,1921.0,19,TAP Air Portugal,330,C
1418,1922.0,19,TAP Air Portugal,330,C
1419,1923.0,19,Air Senegal,330,C
1420,1924.0,19,Azul L.A.,330,C
1421,1925.0,19,TAP Air Portugal,330,C
1422,1926.0,19,Lion Air,330,C
1423,1927.0,19,Lion Air,330,C
1424,1928.0,19,SAS,330,C
1425,1929.0,19,Hi Fly,330,
1426,1931.0,19,Delta AL,330,C
1427,1932.0,19,Level,330,C
1428,1933.0,19,Thai Lion Air,330,
1429,1934.0,19,Azul L.A.,330,C
1430,1935.0,19,Delta AL,330,C
1431,1936.0,19,Level,330,
1432,1937.0,19,Aircalin,330,C
1433,1938.0,19,Aircalin,330,C
1434,1939.0,19,Thai Lion Air,330,
1435,1941.0,19,TAP Air Portugal,330,C
1436,1942.0,19,MTAD,330,
1437,1943.0,19,TAP Air Portugal,330,C
1438,1946.0,19,Garuda Indonesia,330,C
1439,1947.0,19,Garuda Indonesia,330,C
1440,1948.0,19,Garuda Indonesia,330,C
1441,1949.0,19,Delta AL,330,C
1442,1950.0,19,Aer Lingus,330,C
1443,1951.0,20,Aer Lingus,330,C
1444,1952.0,20,Azul L.A.,330,C
1445,1953.0,20,Delta AL,330,C
1446,1954.0,19,TAP Air Portugal,330,C
1447,1956.0,20,Lion Air,330,C
1448,1957.0,20,Delta AL,330,C
1449,1958.0,20,Condor,330,STD
1450,1959.0,20,Condor,330,STD
1451,1960.0,20,MTAD,330,
1452,1962.0,20,Delta AL,330,C
1453,1963.0,20,Orbest,330,C
1454,1964.0,20,Kuwait AW,330,C
1455,1965.0,20,MTAD,330,
1456,1966.0,22,Condor,330,
1457,1968.0,20,MTAD,330,
1458,1969.0,20,Kuwait AW,330,C
1459,1970.0,22,Cebu Pacific AL,330,C
1460,1975.0,20,Corsair,330,C
1461,1977.0,20,Uganda AL,330,C
1462,1978.0,20,Lion Air,330,C
1463,1979.0,20,Uganda AL,330,C
1464,1981.0,21,Sunclass AL,330,
1465,1982.0,20,MTAD,330,
1466,1983.0,21,Delta AL,330,C
1467,1984.0,21,Thai Lion Air,330,
1468,1986.0,21,Corsair,330,C
1469,1987.0,21,Thai Lion Air,330,C
1470,1989.0,20,MTAD,330,
1471,1990.0,21,Delta AL,330,C
1472,1991.0,21,Delta AL,330,C
1473,1992.0,21,Corsair,330,C
1474,1993.0,21,Corsair,330,C
1475,1994.0,22,Delta AL,330,C
1476,1995.0,22,Delta AL,330,C
1477,1996.0,22,Delta AL,330,C
1478,1997.0,22,Delta AL,330,C
1479,1998.0,21,MTAD,330,
1480,1999.0,22,Delta AL,330,C
1481,2000.0,22,Delta AL,330,C
1482,2001.0,21,Cebu Pacific AL,330,C
1483,2002.0,21,Cebu Pacific AL,330,C
1484,2003.0,21,Starlux AL,330,C
1485,2004.0,21,Cebu Pacific AL,330,C
1486,2005.0,21,Kuwait AW,330,C
1487,2006.0,22,Starlux AL,330,C
1488,2007.0,21,MTAD,330,
1489,2008.0,21,MTAD,330,
1490,2009.0,22,Corsair,330,C
1491,2010.0,22,Delta AL,330,C
1492,2011.0,21,MTAD,330,
1493,2012.0,22,MTAD,330,
1494,2013.0,22,Starlux AL,330,
1495,2014.0,22,Delta AL,330,
1496,2015.0,22,MTAD,330,
1497,2016.0,22,Kuwait AW,330,C
1498,2017.0,22,Starlux AL,330,C
1499,2018.0,22,Virgin Atlantic,330,C
1500,2019.0,22,Virgin Atlantic,330,C
1501,2020.0,22,Air Greenland,330,C
1502,2022.0,22,French Air Force,330,C
1503,2023.0,22,United Arab Emirates AF,330,
1504,2024.0,22,Condor,330,
