c/n,f/f,operator,type,St
526.0,2021-09-24,German Air Force,350,C
528.0,2021-07-09,Air China,350,C
530.0,2021-12-23,Delta AL,350,C
531.0,2021-07-08,Japan AL,350,C
533.0,2021-09-03,Air Caraibes,350,C
535.0,2021-07-27,Japan AL,350,C
536.0,2021-08-03,Japan AL,350,C
537.0,2021-08-25,Air China,350,C
538.0,2021-09-20,Japan AL,350,C
539.0,2021-10-15,French Bee,350,C
540.0,2022-02-03,China Eastern AL,350,C
541.0,2021-11-22,Japan AL,350,C
542.0,2021-10-21,Ethiopian AL,350,C
543.0,2022-01-14,Japan AL,350,C
544.0,2021-12-13,Air France,350,C
545.0,2022-01-07,Delta AL,350,C
546.0,2022-02-08,Air France,350,C
547.0,2022-03-07,British AW,350,C
548.0,2022-02-24,Air France,350,C
549.0,2022-05-30,Iberia,350,C
550.0,2021-12-01,Sichuan AL,350,C
551.0,2022-03-25,Air France,350,C
552.0,2022-03-17,Japan AL,350,C
556.0,2022-11-30,Iberia,350,
557.0,2022-11-07,Starlux AL,350,
559.0,2022-04-26,World2fly,350,C
560.0,2022-05-20,French Bee,350,C
561.0,2022-05-16,China Eastern AL,350,
562.0,2022-05-20,Air France,350,C
563.0,2022-07-22,British AW,350,C
564.0,2022-06-07,Singapore AL,350,C
565.0,2022-06-15,THY Turkish AL,350,C
567.0,2022-09-01,Iberia,350,C
568.0,2022-07-04,China Southern AL,350,
569.0,2022-07-06,Singapore AL,350,C
570.0,2022-06-09,Air China,350,
571.0,2022-10-26,Sichuan AL,350,
573.0,2022-07-12,China Eastern AL,350,
574.0,2022-09-28,Air China,350,
576.0,2022-08-09,Air France,350,C
577.0,2022-10-04,China Eastern AL,350,
578.0,2022-09-27,Air France,350,C
579.0,2022-10-17,Iberia,350,C
580.0,2022-09-29,Delta AL,350,C
582.0,2022-10-24,Ethiopian AL,350,C
583.0,2022-11-08,China Southern AL,350,C
584.0,2022-11-16,Cathay Pacific AL,350,
587.0,2022-11-28,Air China,350,
588.0,2022-11-24,Delta AL,350,
600.0,2022-11-10,Air Caraibes (?),350,
