c/n;f/f;testreg;regi;operator;d/d;type;St
1363;25.10.12;F-WWKI;EC-333;MTAD;09.11.12;330-243;
;;MRTT022;G-VYGG;Airtanker;06.12.12;;
;;;ZZ336;Royal Air Force;21.09.15;;C
1364;15.11.12;F-WWKK;PK-GPP;Garuda Indonesian AW;30.11.12;330-243;
;;N455AC;;;;;STD
1365;26.10.12;F-WWKN;VH-EBV;Qantas lsd;23.11.12;330-202;C
1366;16.11.12;F-WWKO;B-LAX;Cathay Pacific AW;07.12.12;330-343E;C
1367;22.11.12;F-WWKP;B-18359;China AL lsd;06.12.12;330-302;C
1368;30.11.12;F-WWKQ;N330QT;Tampa Cargo slsd;19.12.12;330-243F;C
1369;09.11.12;F-WWKS;B-LNN;Hong Kong AL;11.12.12;330-343E;
;;;B-5910;Hainan AL lsd;20.11.13;;
;;;B-LNN;Hong Kong AL ret;03.02.16;;C
1370;07.12.12;F-WWKU;VT-JWT;Jet AW lsd;21.12.12;330-302;
;;M-ABLW;VP-BUP;Nordwind AL lsd;02.07.21;;STD
1371;29.11.12;F-WWKY;VP-BDE;Aeroflot;13.12.12;330-343E;
;;;RA-73789;Aeroflot rr;08.04.22;;C
1372;24.11.12;F-WWYA;B-5908;China Eastern AL;20.12.12;330-243;C
1373;04.12.12;F-WWYB;B-5906;Air China;21.12.12;330-343E;C
1374;22.11.12;F-WWYC;HS-TBF;Thai AW Int;16.01.13;330-343E;STD
1375;13.12.12;F-WWYD;B-5920;China Eastern AL;11.01.13;330-243;C
1376;14.12.12;F-WWYE;F-HZEN;Corsair lsd;15.01.13;330-343E;C
1377;11.01.13;F-WWYG;EC-LUB;Iberia;05.02.13;330-302;C
1378;08.01.13;F-WWYH;B-22102;Transasia AW;25.01.13;330-343E;
;;;N804AV;Avianca lsd;21.04.18;;
;;D-AAAV, M-IRTK;;DHL Air-EAT;due22;;STD
1379;03.01.13;F-WWYJ;EC-340;MTAD;18.01.13;330-202MRTT;C
;;MRTT030;2404;Royal Saudi Air Force;;;
1380;30.01.13;F-WWYK;N331QT;Tampa Cargo slsd;22.03.13;330-243F;C
1381;17.01.13;F-WWYL;PH-AKE;KLM;27.02.13;330-303;C
1382;30.01.13;F-WWYN;9V-STT;Singapore AL lsd;08.03.13;330-343E;
;;;EC-NBP;Evelop AL;29.04.19;;
;;;9H-SMD;SmartLynx AL Malta;27.04.21;;C
1383;19.12.12;F-WWYO;B-5916;Air China;06.02.13;330-343E;C
1384;15.01.13;F-WWYP;B-LNO;Hong Kong AL;05.02.13;330-343E;C
1385;29.01.13;F-WWYQ;EC-LUK;Iberia;19.02.13;330-302;C
1386;31.01.13;F-WWYR;A7-AFY;Qatar AW lsd;16.03.13;330-243F;
;;D-ALAB;B-308P;Sichuan AL lsd;13.07.19;;C
1387;17.01.13;F-WWYS;B-LAZ;Cathay Pacific AW;25.02.13;330-343E;C
1388;30.01.13;F-WWYT;9M-MTK;Malaysian AS;15.02.13;330-323E;C
1389;18.01.13;F-WWYU;N390HA;Hawaiian AL lsd;25.02.13;330-243;C
1390;14.01.13;F-WWYV;EC-336;MTAD;01.03.13;330-243MRTT;
;;MRTT023;G-VYGH;Airtanker;30.01.14;;
;;;ZZ337;Royal Air Force;26.02.14;;C
1391;13.02.13;F-WWYX;VT-JWU;Jet AW lsd;01.03.13;330-302;
;;2-VJWU;VP-BUJ;Nordwind AL lsd;18.10.21;;STD
1392;30.01.13;F-WWYY;B-5917;China Southern AL;11.03.13;330-323E;C
1393;11.02.13;F-WWYZ;HL8276;Korean Air;08.03.13;330-223;C
1394;19.02.13;F-WWKD;DQ-FJT;Air Pacific;14.03.13;330-243;
;;;;Fiji AW;27.06.13;;C
1395;19.02.13;F-WWKH;9M-MTL;Malaysian AS;18.03.13;330-323E;C
1396;21.02.13;F-WWKJ;B-5918;Air China;18.03.13;330-243;C
1397;12.03.13;F-WWKL;B-5923;Sichuan AL lsd;28.03.13;330-343E;C
1398;08.03.13;F-WWKR;B-LNP;Hong Kong AL;22.03.13;330-343E;C
1399;22.03.13;F-WWKT;N391HA;Hawaiian AL;09.04.13;330-243;C
1400;08.03.13;F-WWKV;N280AV;Avianca lsd;21.03.13;330-243;
;;;JU-1111;MIAT Mongolian AW;29.11.22;;C
1401;12.03.13;F-WWKZ;9V-STU;Singapore AL lsd;09.04.13;330-343E;
;;;9H-HFC;HiFly Malta;16.12.19;;
;;M-MWYL;B-LDU;Air Hong Kong;16.08.22;*F;C
1402;28.02.13;F-WWYF;B-5921;China Eastern AL;26.04.13;330-243;
;;;;China Eastern Yunnan AL;28.10.14;;C
1403;01.03.13;F-WWYI;HB-JHN;Swiss Int'l AL;15.04.13;330-343E;C
1404;22.03.13;F-WWYM;N392HA;Hawaiian AL lsd;11.04.13;330-243;C
1405;02.04.13;F-WWTO;EC-LUX;Iberia;19.04.13;330-302;C
1406;10.04.13;F-WWTS;A7-AFZ;Qatar AW lsd;24.04.13;330-243F;
;;D-ALAC;B-308Q;Sichuan AL;12.09.19;;C
1407;21.03.13;F-WWTU;VH-XFG;Virgin Australia AL lsd;19.04.13;330-243;
;;9H-XFG;EC-NZJ;Privilege Style;due12.22;;STD
1408;14.03.13;F-WWTI;HS-TBG;Thai AW Int;22.04.13;330-343E;
;;VP-BMA;;;;;STD
1409;10.04.13;F-WWTO;B-LBA;Cathay Pacific AW;26.04.13;330-343E;C
1410;05.04.13;F-WWTZ;PK-GPQ;Garuda Indonesian AW;30.04.13;330-243;C
1411;28.03.13;F-WWCM;9M-XXI;AirAsia X;22.04.13;330-343E;C
1412;23.04.13;F-WWCK;5A-LAR;Libyan AL;15.07.13;330-202;C
1413;23.04.13;F-WWTJ;B-5919;Air China;17.05.13;330-343E;C
1414;30.04.13;F-WWTL;A6-DCC;Etihad AW;28.05.13;330-243F;
;;;D-ALMB;DHL Air-EAT;23.10.18;;
;;;EI-HED;ASL Ireland;18.12.18;;
;;;B-LDP;Air Hong Kong tfd;s26.03.20;;C
1415;25.04.13;F-WWTM;N286AY;US AW;23.05.13;330-243;
;;;;American AL;10.12.13;;STD
1416;23.04.13;F-WWTK;DQ-FJU;Air Pacific;17.05.13;330-243;
;;;;Fiji AW;27.06.13;;C
1417;16.04.13;F-WWCE;N287AY;US AW;30.05.13;330-243;
;;;;American AL;10.12.13;;STD
1418;13.05.13;F-WWCB;TC-JDS;THY Turkish AL;30.05.13;330-243F;C
1419;29.04.13;F-WWTN;EC-331;MTAD;27.05.13;330-243;
;;G-VYGI;ZZ338;Royal AF;06.06.14;;C
1420;15.05.13;F-WWTR;RP-C3341;Cebu Pacific AL lsd;13.06.13;330-343E;
;;;9H-PTP;FlyPop;10.12.21;;C
1421;13.05.13;F-WWTQ;B-5926;China Eastern AL;04.06.13;330-243;
;;;;China Eastern Yunnan AL;27.10.14;;C
1422;03.06.13;F-WWTX;N393HA;Hawaiian AL;17.06.13;330-243;C
1423;16.05.13;F-WWTY;9M-XXJ;AirAsia X;10.06.13;330-343E;C
;;;;Conviasa lsd;s19.02.15;;
;;;;AirAsia X ret;01.08.15;;
;;VP-CSU;;;;;STD
1424;30.05.13;F-WWTP;5A-LAS;Libyan AL;27.06.13;330-202;W/O
1425;28.05.13;F-WWKM;B-5922;China Southern AL;20.06.13;330-323E;C
1426;17.06.13;F-WWCG;EC-LXK;Iberia;27.06.13;330-302;C
1427;05.06.13;F-WWCH;9V-STV;Singapore AL lsd;21.06.13;330-343E;
;;;A4O-DZ;Oman Air lsd;31.08.19;;
;;2-AODZ;;;;;STD
1428;05.06.13;F-WWCI;N332QT;Tampa Cargo slsd;01.07.13;330-243F;C
1429;06.06.13;F-WWCJ;B-5930;China Eastern AL;01.07.13;330-243;
;;;;China Eastern Yunnan AL;29.09.14;;C
1430;05.06.13;F-WWCL;B-5928;China Southern AL;23.07.13;330-323E;C
1431;27.05.13;F-WWCN;9M-MTM;Malaysian AS;31.07.13;330-323E;C
1432;02.07.13;F-WWCO;B-5929;Sichuan AL lsd;19.07.13;330-343E;C
1433;17.06.13;F-WWCS;9M-XXK;AirAsia X;12.07.13;330-343E;
;;;;National Air Services lsd;15.12.14;;
;;;;AirAsia X ret;ar15;;
;;VP-CSV;;;;;STD
1434;19.06.13;F-WWCT;B-5925;Air China;01.08.13;330-243;C
1435;24.06.13;F-WWCU;HL8282;Asiana AL lsd;15.07.13;330-323E;C
1436;27.06.13;F-WWCV;B-LBB;Cathay Pacific AW;19.07.13;330-343E;C
1437;03.10.13;F-WWKA;EC-LYF;Iberia;13.11.13;330-302;C
1438;02.07.13;F-WWKE;B-5935;Hainan AL lsd;06.08.13;330-343E;C
1439;28.06.13;F-WWKF;EC-333;MTAD;02.08.13;330-243MRTT;
;;MRTT025;G-VYGJ;Airtanker;15.08.14;*KC2;C
1440;12.07.13;F-WWKG;B-5931;China Eastern AL;05.08.13;330-243;
;;;;Shanghai AL tfd;24.07.14;;C
1441;18.07.13;F-WWKI;N288AY;US AW;09.08.13;330-243;
;;;;American AL;10.12.13;;STD
1442;01.08.13;F-WWKK;TC-JCI;THY Turkish AL;27.08.13;330-243F;C
1443;24.07.13;F-WWKN;B-LBC;Cathay Pacific AW;19.08.13;330-343E;C
1444;23.07.13;F-WWKO;B-5927;Air China;04.09.13;330-243;C
1445;30.07.13;F-WWKP;RP-C3342;Cebu Pacific AL lsd;03.09.13;330-343E;
;;VP-CUF;9H-POP;FlyPop;10.11.21;;C
1446;28.08.13;F-WWKQ;PK-GPR;Garuda Indonesian AW;25.09.13;330-343E;C
1447;16.07.13;F-WWKS;9V-STW;Singapore AL lsd;13.09.13;330-343E;
;;OE-IED;C-GOFV;Air Canada;due/ntu;;STD
1448;30.08.13;F-WWKU;N334QT;Tampa Cargo slsd;29.10.13;330-243F;C
1449;29.08.13;F-WWKY;RP-C8782;Philippine AL;26.09.13;330-343E;C
1450;10.09.13;F-WWYA;B-18360;China AL lsd;02.12.13;330-302;C
1451;23.08.13;F-WWYC;V5-ANO;Air Namibia lsd;25.09.13;330-243;
;;D-AAAQ;;;;;STD
1452;22.08.13;F-WWYE;VH-XFH;Virgin Australia AL lsd;25.09.13;330-243;
;;OE-IMZ;;;;;STD
1453;04.09.13;F-WWYF;9V-STY;Singapore AL lsd;27.09.13;330-343E;
;;9H-STY;9H-TAJ;HiFly Malta;02.11.19;;
;;M-DMMR;;DHL Air-EAT;due22;;STD
1454;26.09.13;F-WWYG;HZ-AQI;Saudi Arabian AL;28.10.13;330-343E;C
1455;13.08.13;F-WWYG;N289AY;US AW;21.10.13;330-243;
;;;;American AL;10.12.13;;STD
1456;02.09.13;F-WWYJ;RP-C8780;Philippine AL;11.10.13;330-343E;C
1457;27.09.13;F-WWYO;B-HWM;Dragonair lsd;25.10.13;330-343E;
;;;;Cathay Dragon nn;22.11.16;;
;;;;Cathay Pacific tfd;09.08.21;;C
1458;21.10.13;F-WWYP;TC-JNS;THY Turkish AL;20.11.13;330-303;C
1459;27.09.13;F-WWCC;B-5932;Air China;17.10.13;330-243;C
1460;19.09.13;F-WWCP;RP-C8781;Philippine AL;21.10.13;330-343E;C
1461;13.09.13;F-WWCQ;B-5936;China Eastern AL;23.10.13;330-243;C
1462;10.10.13;F-WWCR;HZ-AQK;Saudi Arabian AL;05.11.13;330-343E;C
1463;01.10.13;F-WWCX;RP-C8783;Philippine AL;04.11.13;330-343E;C
1464;22.10.13;F-WWCY;HL8286;Asiana AL lsd;13.11.13;330-323E;C
1465;09.10.13;F-WWCZ;DQ-FJV;Fiji AW;04.11.13;330-243;C
1466;14.10.13;F-WWCD;V5-ANP;Air Namibia lsd;22.11.13;330-243;
;;D-AAAS;;;;;STD
1467;03.10.13;F-WWKL;RP-C8784;Philippine AL;27.11.13;330-343E;
;;2-RPCA;;;;;STD
1468;21.11.13;F-WWKT;B-5937;China Eastern AL;11.12.13;330-243;C
1469;22.10.13;F-WWKZ;N395HA;Hawaiian AL;18.11.13;330-243;C
1470;30.10.13;F-WWYF;9M-MTN;Malaysian AS;02.12.13;330-323E;C
1471;31.10.13;F-WWYI;B-5933;Air China lsd;02.12.13;330-243;C
1472;21.11.13;F-WWYK;5A-ONP;Afriqiyah AW;30.12.13;330-202;STD
1473;24.10.13;F-WWYL;HZ-AQJ;Saudi Arabian AL;16.12.13;330-343E;C
1474;28.11.13;F-WWYM;PK-GPS;Garuda Indonesian AW;16.12.13;330-243;C
1475;15.11.13;F-WWYQ;RP-C8785;Philippine AL;06.12.13;330-343E;
;;2-MAHY;;;;;STD
1476;07.11.13;F-WWYR;TC-JNT;THY Turkish AL;03.12.13;330-303;C
1477;21.11.13;F-WWYS;9V-STZ;Singapore AL lsd;09.12.13;330-343E;
;;;9H-HFD;HiFly Malta;02.03.20;;
;;M-SKAL;D-AJFK;DHL Air-EAT;04.10.21;*P2F;C
1478;08.11.13;F-WWYT;EC-338;MTAD;09.12.13;330-202MRTT;
;;MRTT031;2405;Royal Saudi Air Force;27.03.15;;C
1479;18.11.13;F-WWYU;B-5938;China Eastern AL;09.12.13;330-243;C
1480;26.11.13;F-WWYV;N290AY;American AL;17.12.13;330-243;STD
1481;13.11.13;F-WWYX;9M-XXP;AirAsia X;09.01.14;330-343E;STD
1482;22.11.13;F-WWCM;RP-C8786;Philippine AL;21.01.14;330-343E;
;;2-CPRO;;;;;STD
1483;16.12.13;F-WWKH;JA330A;Skymark AL lsd;27.02.14;330-343E;
;;N113NT, EI-FNY;TC-LOA;THY Turkish AL;14.03.17;;C
1484;20.12.13;F-WWKJ;B-5941;China Eastern AL;27.01.14;330-243;C
1485;07.01.14;F-WWKV;9V-SSA;Singapore AL lsd;17.01.14;330-343E;
;;;C-GOFW;Air Canada;18.03.20;;C
1486;19.12.13;F-WWYN;A6-EYT;Etihad AW;31.01.14;330-243;
;;;OE-LAC;Air Belgium lsd;21.11.22;;C
1487;13.12.13;F-WWYY;TC-JNZ;THY Turkish AL;14.01.14;330-303;C
1488;08.01.14;F-WWYZ;N396HA;Hawaiian AL;29.01.14;330-243;C
1489;10.01.14;F-WWTI;9M-MTO;Malaysian AS;30.01.14;330-323E;C
1490;06.12.13;F-WWTJ;EC-LZJ;Iberia;24.01.14;330-302;C
1491;22.01.14;F-WWTK;JA330B;Skymark AL lsd;27.02.14;330-343E;
;;N114NT, EI-FNZ;TC-LOB;THY Turkish AL;18.05.17;;C
1492;14.04.14;F-WWTL;N941AV;Avianca lsd;20.10.14;330-243;
;;;PR-OCJ;Avianca Brazil tfd;17.11.17;;
;;N941AV;PR-AIS;Azul L.A. lsd;22.07.19;;
;;;FAB2901;Brazilian Air Force;21.07.22;;C
1493;28.01.14;F-WWTM;B-5912;Air China;14.02.14;330-343E;C
1494;19.12.13;F-WWTN;B-5939;China Southern AL;14.02.14;330-323E;C
1495;30.01.14;F-WWTU;RP-C3343;Cebu Pacific AL lsd;19.02.14;330-343E;
;;;G-FPOP;FlyPop;due22;;STD
1496;15.01.14;F-WWTP;N399HA;Hawaiian AL;26.02.14;330-243;C
1497;12.02.14;F-WWTQ;D-AIKS;Lufthansa;12.03.14;330-343E;C
1498;29.01.14;F-WWTR;EC-330;MTAD;10.03.14;330-243MRTT;
;;MRTT026;G-VYGK;Airtanker;06.02.15;;
;;;;Thomas Cook AL lsd;29.04.15;;
;;;;Condor lsd;30.04.19;;
;;;;Airtanker ret;s06.04.20;;C
1499;08.04.14;F-WWTS;5A-ONQ;Afriqiyah AW;30.12.14;330-302;
;;F-WXAK;TC-JOM;THY Turkish AL lsd;30.04.15;;C
1500;27.01.14;F-WWTU;B-5942;China Eastern AL;03.03.14;330-243;C
1501;12.02.14;F-WWTV;TC-JOA;THY Turkish AL;04.03.14;330-303;C
1502;31.01.14;F-WWTX;N291AY;American AL;17.03.14;330-243;STD
1503;25.02.14;F-WWTY;B-LBD;Cathay Pacific AW;21.03.14;330-343E;
;;;;Dragonair lsd;05.12.15;;
;;;;Cathay Dragon nn;22.11.16;;
;;;;Cathay Pacific AW tfd;02.12.20;;C
1504;11.02.14;F-WWTZ;RP-C8789;Philippine AL;11.03.14;330-343E;C
1505;08.04.14;F-WWKE;5A-LAT;Libyan AL;30.12.14;330-202;C
1506;07.03.14;F-WWKF;PR-ONV;Oceanair-Avianca Brazil slsd;29.04.14;330-243F;
;;;N336QT;Avianca Cargo tfd/rr;09.05.19;;C
1507;21.02.14;F-WWKG;EC-LZX;Iberia;17.03.14;330-302;C
1508;14.03.14;F-WWKI;N508AV;Avianca slsd;11.06.14;330-243;
;;;PR-OCK;Avianca Brazil lsd;17.07.17;;
;;N508AV, OE-IDV, VP-BDV;;Brazilian Air Force;due22;;STD
1509;19.02.13;F-WWKK;B-5913;Air China;28.03.14;330-343E;C
1510;27.03.14;F-WWKM;RP-C8760;Philippine AL lsd;17.04.14;330-343E;STD
1511;04.03.14;F-WWKN;N370HA;Hawaiian AL;01.04.14;330-243;C
1512;10.03.14;F-WWKO;N292AY;American AL;01.04.14;330-243;STD
1513;06.03.14;F-WWKP;HZ-AQL;Saudi Arabian AL;23.04.14;330-343E;C
1514;11.03.14;F-WWKQ;TC-JOB;THY Turkish AL;22.04.14;330-303;C
1515;20.03.14;F-WWKR;EC-MAA;Iberia;22.04.14;330-302;C
1516;20.03.14;F-WWKS;EC-337;MTAD;09.04.14;330-202MRTT;
;;MRTT032;2406;Royal Saudi Air Force;15.06.15;;C
1517;03.04.14;F-WWYC;9V-SSB;Singapore AL lsd;29.04.14;330-343E;
;;;9H-HFE;HiFly Malta;16.06.20;;C
1518;28.03.14;F-WWYD;HL8293;Asiana AL lsd;17.04.14;330-323E;C
1519;14.03.14;F-WWYE;B-5940;China Southern AL;17.04.14;330-323E;C
1520;31.03.14;F-WWYJ;B-5943;China Eastern AL;24.04.14;330-243;C
1521;23.04.14;F-WWKA;A6-EYU;Etihad AW;19.05.14;330-243;
;;;OE-LCL;Air Belgium lsd;07.10.22;;C
1522;29.04.14;F-WWKU;TC-JOC;THY Turkish AL;27.05.14;330-303;STD
1523;19.05.14;F-WWKZ;B-LBE;Cathay Pacific AW;16.06.14;330-343E;
;;;;Cathay Dragon tfd;24.12.16;;
;;;;Cathay Pacific AW tfd;20.10.21;;C
1524;16.06.14;F-WWKY;A6-DCD;Etihad AW;26.06.14;330-243F;
;;;D-ALMA;DHL Air-EAT;14.08.18;;C
1525;09.04.14;F-WWYG;B-5946;Air China;23.05.14;330-343E;C
1526;25.04.14;F-WWYH;N293AY;American AL;23.05.14;330-243;STD
1527;18.04.14;F-WWYO;RP-C3344;Cebu Pacific AL lsd;16.05.14;330-343E;C
1528;05.05.14;F-WWYP;B-5945;Sichuan AL lsd;23.05.14;330-343E;C
1529;10.06.14;F-WWCC;TC-JOD;THY Turkish AL;27.06.14;330-303;C
1530;26.05.14;F-WWCE;N373HA;Hawaiian AL;16.06.14;330-243;C
1531;05.05.14;F-WWCG;RP-C8762;Philippine AL lsd;18.06.14;330-343E;
;;LZ-DBL;9H-SMF;SmartLynx AL Malta;24.11.21;;C
1532;16.05.14;F-WWCH;B-5950;Hainan AL lsd;07.07.14;330-343E;C
1533;06.05.14;F-WWCI;9M-XXS;AirAsia X;06.06.14;330-343E;
;;LZ-DAV;9H-SMG;SmartLynx AL Malta;17.03.22;;C
1534;06.05.14;F-WWCJ;N335QT;Tampa Cargo slsd;31.12.14;330-243F;C
1535;25.06.14;F-WWCK;5A-ONR;Afriqiyah AW;30.12.14;330-302E;
;;F-WHUT;5A-ONR;Afriqiyah AW;07.17;;C
1536;10.06.14;F-WWCL;B-5951;China Southern AL;24.06.14;330-323E;C
1537;30.05.14;F-WWCN;B-5949;China Eastern AL;25.06.14;330-243;C
1538;02.06.14;F-WWCO;B-5947;Air China;30.06.14;330-343E;C
1539;16.05.14;F-WWCP;B-18361;China AL lsd;27.06.14;330-302;C
1540;02.06.14;F-WWCQ;PR-OCL;Avianca lsd;31.12.14;330-243;
;;F-WXAJ;EP-IJA;Iran Air;11.03.17;;C
1541;20.05.14;F-WWCR;B-5948;Air China;29.07.14;330-343E;C
1542;06.06.14;F-WWCS;JA330D;Skymark AL lsd;28.07.14;330-343E;
;;N115NT, EI-FSC;TC-LOC;THY Turkish AL;29.03.17;;C
1543;12.06.14;F-WWCT;5A-LAU;Libyan AL;25.08.15;330-202;C
1544;08.07.14;F-WWCU;9V-SSC;Singapore AL lsd;15.07.14;330-343E;
;;2-SSCA;;;;;STD
1545;25.06.14;F-WWCV;B-LBF;Cathay Pacific AW;25.07.14;330-343E;
;;;;Cathay Dragon tfd;04.02.17;;
;;;;Cathay Pacific AW tfd;20.10.20;;C
1546;12.06.14;F-WWCX;RP-C8763;Philippine AL;18.07.14;330-343E;C
1547;13.06.14;F-WWCY;B-5952;China Eastern AL;22.07.14;330-243;C
1548;23.06.14;F-WWCZ;PK-GPT;Garuda Indonesian AW;18.08.14;330-343E;C
1549;23.07.14;F-WWKD;9M-XXT;AirAsia X;14.08.14;330-343E;
;;LZ-DAW;9H-SMH;SmartLynx AL Malta;11.05.22;;C
1550;27.06.14;F-WWKL;TC-JOU;THY Turkish AL;17.04.15;330-243F;C
1551;10.07.14;F-WWKT;B-5953;China Eastern AL;25.08.14;330-343E;C
1552;17.07.14;F-WWKV;RP-C3345;Cebu Pacific AL lsd;30.08.14;330-343E;C
1553;01.08.14;F-WWYA;RP-C8764;Philippine AL;29.08.14;330-343E;C
1554;17.07.14;F-WWYF;JA330E;Skymark AL lsd;10.09.14;330-343E;
;;N116NT, EI-FSD;TC-LOD;THY Turkish AL;11.04.17;;C
1555;17.07.14;F-WWYI;EC-336;MTAD;22.08.14;330-243MRTT;
;;MRTT027;G-VYGL;Air Tanker;22.06.15;*KC2;
;;;ZZ341;Royal AF;07.07.15;;
;;;G-VYGL;Air Tanker;03.02.16;;
;;;;Jet2 lsd;16.05.17;;
;;;;TUI AL Netherlands lsd;16.12.17;;
;;;;Jet2 lsd;23.05.18;;
;;;;Air Tanker ret;07.11.18;;
;;;;Jet2 lsd;01.04.19;;C
1556;10.09.14;F-WWYK;HL8001;Korean Air;29.09.14;330-323E;C
1557;12.08.14;F-WWYL;B-LBG;Cathay Pacific AW;23.09.14;330-343E;
;;;;Cathay Dragon tfd;22.02.17;;STD
1558;09.09.14;F-WWYM;B-5955;Hainan AL lsd;30.09.14;330-243;C
1559;22.07.14;F-WWYQ;RP-C8765;Philippine AL;17.10.14;330-343E;
;;EI-HAJ;;;;;STD
1560;04.09.14;F-WWYR;PK-GPU;Garuda Indonesian AW lsd;22.09.14;330-343E;C
1561;26.08.14;F-WWYS;VH-XFJ;Virgin Australia AL lsd;22.09.14;330-243;
;;2-HXFJ;;;;;STD
1562;07.08.14;F-WWYU;9V-SSD;Singapore AL lsd;19.09.14;330-343E;
;;OE-IRE;;;;;STD
1563;27.08.14;F-WWYV;B-5956;Air China;29.09.14;330-343E;C
1564;04.09.14;F-WWYX;4R-ALL;SriLankan AL lsd;29.10.14;330-343E;C
1565;03.09.14;F-WWYY;N374HA;Hawaiian AL;14.10.14;330-243;C
1566;01.10.14;F-WWKG;RP-C8766;Philippine AL;21.11.14;330-343E;C
1567;16.09.14;F-WWKH;B-LBH;Cathay Pacific AW;22.10.14;330-343E;
;;;;Cathay Dragon tfd;17.07.17;;STD
1568;15.10.14;F-WWKJ;RP-C8771;Philippine AL lsd;28.11.14;330-343E;C
1569;02.10.14;F-WWKK;B-5961;China Eastern AL;30.10.14;330-243;C
1570;18.09.14;F-WWKN;B-5957;Air China;24.10.14;330-343E;C
1571;28.10.14;F-WWKO;TC-JOE;THY Turkish AL;20.11.14;330-303;C
1572;28.10.14;F-WWKP;A4O-DH;Oman Air;25.11.14;330-343E;C
1573;26.09.14;F-WWKQ;B-5963;Hainan AL lsd;07.11.14;330-243;C
1574;02.10.14;F-WWKR;JA330F;Skymark AL lsd;27.11.14;330-343E;
;;OE-IDI;EC-MHL;Air Europa;07.07.15;;
;;OE-IFL, N302PF;;;;;STD
1575;14.10.14;F-WWKS;B-5959;China Southern AL;19.11.14;330-323E;C
1576;31.10.14;F-WWYD;HL8002;Korean Air;28.11.14;330-323E;C
1577;24.10.14;F-WWYN;PK-GPV;Garuda Indonesian AW lsd;18.11.14;330-343E;C
1578;31.10.14;F-WWYT;A7-AFF;Qatar AW;24.11.14;330-243F;
;;;HA-LHU;Wizz Air;18.10.20;;C
1579;21.10.14;F-WWYZ;B-5960;Sichuan AL lsd;25.11.14;330-343E;C
1580;15.10.14;F-WWCD;PH-AKF;KLM lsd;04.12.14;330-303;C
1581;31.10.14;F-WWCM;9M-XXU;AirAsia X;24.11.14;330-343E;C
1582;20.11.14;F-WWKA;A4O-DI;Oman Air;11.12.14;330-343E;C
1583;03.11.14;F-WWKF;4R-ALM;SriLankan AL lsd;18.12.14;330-343E;C
1584;18.11.14;F-WWKM;A7-AFG;Qatar AW;09.12.14;330-243F;
;;;OO-CGM;Air Belgium;08.03.21;;C
1585;20.11.14;F-WWKU;PK-GPW;Garuda Indonesian AW lsd;08.12.14;330-343E;C
1586;06.11.14;F-WWKZ;F-WHUR;Synergy Aerospace;31.12.14;330-243;
;;;EP-IJB;Iran Air;25.03.17;;C
1587;21.11.14;F-WWCE;B-5958;Air China;10.12.14;330-343E;W/O
1588;02.12.14;F-WWCG;B-5962;China Eastern AL;17.12.14;330-243;C
1589;09.12.14;F-WWCI;9M-XXV;AirAsia X;23.12.14;330-343E;C
1590;04.12.14;F-WWCL;HL8003;Korean Air;22.12.14;330-323E;C
1591;26.11.14;F-WWCN;B-5979;Hainan AL lsd;27.01.15;330-243;C
1592;09.12.14;F-WWYE;EI-FLT;IAP;20.03.15;330-343E;
;;;TC-LOE;THY Turkish AL;23.12.16;;C
1593;08.01.15;F-WWYG;B-5965;China Southern AL;29.01.15;330-323E;C
1594;26.01.15;F-WWYH;A7-AFH;Qatar AW;13.02.15;330-243F;
;;;OO-SEA;Air Belgium;05.03.21;;C
1595;12.12.14;F-WWYJ;B-5969;China Eastern AL;30.01.15;330-343E;C
1596;09.01.15;F-WWYO;9M-XXW;AirAsia X;26.01.15;330-343E;
;;;9M-VVA;AirAsia tfd;s16.12.21;;C
1597;08.01.15;F-WWYP;9V-SSE;Singapore AL lsd;28.01.15;330-343E;
;;OE-IEK;EC-NTX;Wamos Air lsd;21.03.22;;C
1598;30.01.15;F-WWKI;B-LBI;Cathay Pacific AW;17.02.15;330-343E;
;;;;Cathay Dragon tfd;s26.02.17;;
;;;;Cathay Pacific AW tfd;02.12.20;;C
1599;22.01.15;F-WWKY;A4O-DJ;Oman Air;10.02.15;330-343E;C
1600;14.01.15;F-WWYC;9M-XXY;AirAsia X;03.02.15;330-343E;
;;VP-CSW, OE-IAF;EC-NTY;Wamos Air lsd;14.06.22;;C
1601;20.01.15;F-WWCC;EC-332;MTAD;17.02.15;330-243;
;;MRTT028;G-VYGM;MTAD;24.02.15;;
;;;;Thomas Cook AL lsd;28.04.17;;
;;;;TUI AL Netherlands lsd;14.11.17;;
;;;;Thomas Cook AL lsd;18.05.18;;
;;;;Jet2 lsd;23.05.19;;C
1602;12.02.15;F-WWCH;RP-C3346;Cebu Pacific AL lsd;06.03.15;330-343E;C
1603;21.01.15;F-WWCO;B-5968;China Eastern AL;17.02.15;330-243;C
1604;28.01.15;F-WWCP;4R-ALN;SriLankan AL;25.03.15;330-343E;
;;;;PIA-Pakistan Int AL lsd;06.08.16;;
;;;;SriLankan AL ret;02.03.17;;C
1605;06.02.15;F-WWCQ;LV-FVH;Aerolineas Argentinas;27.02.15;330-202;C
1606;12.01.15;F-WWCR;N375HA;Hawaiian AL lsd;24.02.15;330-243;C
1607;24.02.15;F-WWCS;;CIT LC;30.03.15;330-343E;
;;;EC-MIN;Air Europa lsd;23.11.15;;
;;;TF-LUV;Wow Air slsd;09.06.16;;
